Województwo,Powiat,Gmina,Miejscowość,Ulica (jeśli dotyczy),Typ punktu/Kategoria obszaru,WGS84 X,WGS84 Y,Parametr pomiaru,Data pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Wartość maksymalna (Emax) [V/m],Niepewność pomiaru  [V/m],Wartość wskaźnika poziomu emisji pól elektromagnetycznych WME (z obliczeń)
WOJ. LUBUSKIE,Powiat krośnieński,Krosno Odrzańskie,Krosno Odrzańskie ,Trakt Książęcy,Miasta poniżej 20000 mieszkańców,15.098333,52.047417,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-14,1.5,0.4,2.1,0.6,0.1
WOJ. LUBUSKIE,Powiat krośnieński,Gubin,Gubin,Piastowska,Miasta poniżej 20000 mieszkańców,14.722167,51.954722,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-01,0.5,0.1,1.2,0.4,0.06
WOJ. LUBUSKIE,Powiat międzyrzecki,Skwierzyna,Skwierzyna, Ratuszowa,Miasta poniżej 20000 mieszkańców,15.504083,52.598611,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-05,1.29,0.37,1.9,0.54,0.09
WOJ. LUBUSKIE,Powiat nowosolski,Otyń,Otyń,Mickiewicza ,Miasta poniżej 20000 mieszkańców,15.711556,51.846972,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-13,0.4,0.1,0.86,0.26,0.04
WOJ. LUBUSKIE,Powiat nowosolski,Kożuchów,Kożuchów,Rynek,Miasta poniżej 20000 mieszkańców,15.594972,51.745528,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,0.4,0.1,0.8,0.2,0.04
WOJ. LUBUSKIE,Powiat słubicki,Rzepin,Rzepin,Nadtorowa 10 B,Miasta poniżej 20000 mieszkańców,14.825944,52.343917,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-05,1.63,0.47,2.19,0.63,0.1
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Drezdenko,Drezdenko ,Al. Piastów 44,Miasta poniżej 20000 mieszkańców,15.844306,52.834917,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-06,0.37,0.11,0.67,0.19,0.03
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Strzelce Krajeńskie,Strzelce Krajeńskie , Jedności Robotniczej 13,Miasta poniżej 20000 mieszkańców,15.518333,52.878111,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,1.39,0.4,2.3,0.66,0.11
WOJ. LUBUSKIE,Powiat sulęciński,Sulęcin,Sulęcin,Osiedle Słoneczne 8 e,Miasta poniżej 20000 mieszkańców,15.125889,52.43975,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-30,0.75,0.21,0.99,0.28,0.05
WOJ. LUBUSKIE,Powiat świebodziński,Zbąszynek,Zbąszynek,Zachodnia,Miasta poniżej 20000 mieszkańców,15.807639,52.247611,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.9,0.3,1.2,0.3,0.05
WOJ. LUBUSKIE,Powiat zielonogórski,Czerwieńsk,Czerwieńsk,Składowa,Miasta poniżej 20000 mieszkańców,15.415306,52.014278,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-14,0.5,0.2,1,0.3,0.05
WOJ. LUBUSKIE,Powiat zielonogórski,Nowogród Bobrzański,Nowogród Bobrzański ,Rynek,Miasta poniżej 20000 mieszkańców,15.246639,51.802,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-27,0.4,0.1,0.6,0.2,0.03
WOJ. LUBUSKIE,Powiat żarski,Lubsko,Lubsko,Plac Wolności ,Miasta poniżej 20000 mieszkańców,14.972722,51.788389,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-07,0.9,0.3,1.3,0.4,0.06
WOJ. LUBUSKIE,Powiat wschowski,Sława,Sława,Wiejska,Miasta poniżej 20000 mieszkańców,16.078,51.876694,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-30,1,0.3,1.4,0.4,0.07
WOJ. LUBUSKIE,Powiat międzyrzecki,Pszczew,Pszczew,Topolowa 1A,Gminy wiejskie,15.777833,52.492667,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-28,0.47,0.14,0.8,0.23,0.04
WOJ. LUBUSKIE,Powiat nowosolski,Siedlisko,Siedlisko,Kasztanowa 11-18,Gminy wiejskie,15.811861,51.770917,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-30,0.3,0.1,0.8,0.2,0.04
WOJ. LUBUSKIE,Powiat słubicki,Górzyca,Górzyca,Rózana 41,Gminy wiejskie,14.650333,52.487361,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-01,0.32,0.11,0.55,0.16,0.03
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Zwierzyn,Zwierzyn,Wojska Polskiego 13,Gminy wiejskie,15.581806,52.837,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,0.58,0.17,1.09,0.31,0.05
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Stare Kurowo,Stare Kurowo,Daszyńskiego 2,Gminy wiejskie,15.670667,52.871889,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-06,0.48,0.14,0.72,0.21,0.03
WOJ. LUBUSKIE,Powiat świebodziński,Szczaniec,Szczaniec,Lipowa,Gminy wiejskie,15.692194,52.259472,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.6,0.2,1.3,0.4,0.06
WOJ. LUBUSKIE,Powiat świebodziński,Lubrza,Lubrza,Świebodzińska,Gminy wiejskie,15.438806,52.310861,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-24,0.4,0.1,0.7,0.2,0.03
WOJ. LUBUSKIE,Powiat żagański,Brzeźnica,Brzeźnica,Zielonogórska 29B,Gminy wiejskie,15.387639,51.716083,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,0.7,0.2,0.9,0.3,0.04
WOJ. LUBUSKIE,Powiat żarski,Lipinki Łużyckie,Lipinki Łużyckie,Piastowska,Gminy wiejskie,14.998944,51.6385,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-31,0.5,0.2,1.8,0.5,0.08
WOJ. LUBUSKIE,Powiat żarski,Brody,Brody,Rynek,Gminy wiejskie,14.775306,51.786917,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-01,0.3,0.1,1.9,0.6,0.09
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Grabieniec 25,Miasta powyżej 200000 mieszkańców,19.3935,51.796861,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-04,1,0.5,2.1,1.1,0.11
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Brzezińska 230,Miasta powyżej 200000 mieszkańców,19.572556,51.795611,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-06,1.1,0.6,3.3,1.7,0.18
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Motylowa 7,Miasta powyżej 200000 mieszkańców,19.427556,51.819611,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-04,"<0,8",,1.7,0.9,0.09
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Hortensji 1,Miasta powyżej 200000 mieszkańców,19.452194,51.802528,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-22,"<0,8",,1.2,0.6,0.06
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Boya Żeleńskiego/ul. H. Sucharskiego,Miasta powyżej 200000 mieszkańców,19.475056,51.790389,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-22,"<0,8",,1.7,0.9,0.09
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Wierzbowa 2/2A,Miasta powyżej 200000 mieszkańców,19.477583,51.780278,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,"<0,8",,0.8,0.4,0.04
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Wrocławska 1A,Miasta powyżej 200000 mieszkańców,19.444861,51.784417,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-28,"<0,8",,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Czołgistów/ul. Spadochroniarzy,Miasta powyżej 200000 mieszkańców,19.390222,51.777056,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-28,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,Dworzec Łódź Fabryczna,Miasta powyżej 200000 mieszkańców,19.465583,51.769472,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-13,3.1,1.7,5,2.7,0.28
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź,ul. Gdańska 81,Miasta powyżej 200000 mieszkańców,19.448556,51.766528,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-13,"<0,8",,2.9,1.5,0.16
WOJ. ŁÓDZKIE,Powiat bełchatowski,Bełchatów,Bełchatów,ul. Targowa 4a,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.380278,51.368,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-08,1.2,0.7,3.8,2,0.21
WOJ. ŁÓDZKIE,Powiat bełchatowski,Bełchatów,Bełchatów,Osiedle Dolnośląskie 215,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.367389,51.351056,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-14,"<0,8",,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat bełchatowski,Bełchatów,Bełchatów,ul. Opalowa 1,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.392491,51.355433,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-14,"<0,8",,2.3,1.2,0.13
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski,ul. Kazimierza Wielkiego 5,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.686917,51.405417,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-05,"<0,8",,1.2,0.6,0.06
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski,ul. J. Matejki 5,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.660639,51.411139,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-05,1.1,0.6,2,1.1,0.11
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski,ul. Włókiennicza 10A,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,19.72125,51.402278,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-05,"<0,8",,2,1.1,0.11
WOJ. ŁÓDZKIE,Powiat łowicki,Łowicz,Łowicz,ul. Armii Krajowej 5,Miasta w przedziale od 20000 do 50000 mieszkańców,19.948944,52.114917,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-24,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat łowicki,Łowicz,Łowicz,Osiedle Kostka 12,Miasta w przedziale od 20000 do 50000 mieszkańców,19.931333,52.101,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-24,0.8,0.5,1.7,0.9,0.09
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Koluszki,Koluszki,ul. Sikorskiego 1,Miasta w przedziale od 20000 do 50000 mieszkańców,19.823833,51.739111,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Koluszki,Koluszki,ul. Brzezińska 127B,Miasta w przedziale od 20000 do 50000 mieszkańców,19.799583,51.752639,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat wieluński,Wieluń,Wieluń,pl. Kazimierza Wielkiego 2,Miasta w przedziale od 20000 do 50000 mieszkańców,18.572333,51.219583,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-16,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat wieluński,Wieluń,Wieluń,ul. Sieradzka 57A,Miasta w przedziale od 20000 do 50000 mieszkańców,18.562,51.228639,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-16,1,0.6,2,1.1,0.11
WOJ. ŁÓDZKIE,Powiat zgierski,Aleksandrów Łódzki,Aleksandrów Łódzki,ul. Konstytucji 3 Maja 9,Miasta w przedziale od 20000 do 50000 mieszkańców,19.300778,51.818694,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-13,1,0.5,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat zgierski,Aleksandrów Łódzki,Aleksandrów Łódzki,ul. Pabianicka 80C,Miasta w przedziale od 20000 do 50000 mieszkańców,19.316472,51.813417,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-13,1.6,0.9,2,1.1,0.11
WOJ. ŁÓDZKIE,Powiat m. Skierniewice,M. Skierniewice,Skierniewice,ul. Mszczonowska 38,Miasta w przedziale od 20000 do 50000 mieszkańców,20.154361,51.955194,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-29,1,0.6,1.3,0.7,0.07
WOJ. ŁÓDZKIE,Powiat m. Skierniewice,M. Skierniewice,Skierniewice,ul. Wańkowicza 3d,Miasta w przedziale od 20000 do 50000 mieszkańców,20.149667,51.973806,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-29,2.3,1.2,4.6,2.5,0.25
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Rzgów,Rzgów,pl. 500-lecia 22,Miasta poniżej 20000 mieszkańców,19.492083,51.662667,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-06,"<0,8",,0.9,0.5,0.05
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Tuszyn,Tuszyn,ul. Wysoka 3,Miasta poniżej 20000 mieszkańców,19.553111,51.605,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-06,"<0,8",,1.6,0.8,0.09
WOJ. ŁÓDZKIE,Powiat pabianicki,Konstantynów Łódzki,Konstantynów Łódzki,ul. Piłsudskiego 12,Miasta poniżej 20000 mieszkańców,19.330403,51.748047,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-24,"<0,8",,0.8,0.4,0.04
WOJ. ŁÓDZKIE,Powiat pabianicki,Lutomiersk,Lutomiersk,ul. Pabianicka 1,Miasta poniżej 20000 mieszkańców,19.207634,51.752083,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-24,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat poddębicki,Poddębice,Poddębice,ul. Zielona 2,Miasta poniżej 20000 mieszkańców,18.958028,51.892472,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-08,"<0,8",,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat poddębicki,Uniejów,Uniejów,ul. Rzeczna 7,Miasta poniżej 20000 mieszkańców,18.797444,51.972694,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-08,"<0,8",,1.6,0.9,0.09
WOJ. ŁÓDZKIE,Powiat rawski,Rawa Mazowiecka,Rawa Mazowiecka,ul. Gąsiorowskiego 7,Miasta poniżej 20000 mieszkańców,20.257778,51.760056,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-02,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat rawski,Biała Rawska,Biała Rawska,ul. Topolowa 5,Miasta poniżej 20000 mieszkańców,20.47175,51.813389,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-02,1,0.6,1.9,1,0.1
WOJ. ŁÓDZKIE,Powiat sieradzki,Błaszki,Błaszki,Lubanów 44,Miasta poniżej 20000 mieszkańców,18.44975,51.6535,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-21,"<0,8",,1.1,0.6,0.06
WOJ. ŁÓDZKIE,Powiat sieradzki,Warta,Warta,ul. 700-lecia 2,Miasta poniżej 20000 mieszkańców,18.622917,51.713528,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,1.4,0.7,1.9,1,0.1
WOJ. ŁÓDZKIE,Powiat sieradzki,Złoczew,Złoczew,ul. Burzenińska 11a,Miasta poniżej 20000 mieszkańców,18.608194,51.418512,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-11,"<0,8",,0.8,0.4,0.04
WOJ. ŁÓDZKIE,Powiat skierniewicki,Bolimów,Bolimów,ul. Szkolna 15,Miasta poniżej 20000 mieszkańców,20.161556,52.081889,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-24,"<0,8",,1.1,0.6,0.06
WOJ. ŁÓDZKIE,Powiat wieruszowski,Wieruszów,Wieruszów,ul. Rynek 19,Miasta poniżej 20000 mieszkańców,18.150528,51.295111,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-11,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat wieruszowski,Lututów,Lututów,ul. Słoneczna 2,Miasta poniżej 20000 mieszkańców,18.429417,51.370444,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-11,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat zduńskowolski,Szadek,Szadek,ul. Osiny 15,Miasta poniżej 20000 mieszkańców,18.997417,51.697167,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-09,"<0,8",,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat zgierski,Głowno,Głowno,ul. Kasprzaka 11,Miasta poniżej 20000 mieszkańców,19.706694,51.966194,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-27,"<0,8",,1.2,0.6,0.06
WOJ. ŁÓDZKIE,Powiat zgierski,Stryków,Stryków,ul. Stryjowskiego 9,Miasta poniżej 20000 mieszkańców,19.602528,51.901056,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,"<0,8",,1.4,0.8,0.08
WOJ. ŁÓDZKIE,Powiat brzeziński,Brzeziny,Brzeziny,ul. Konopnickiej 1,Miasta poniżej 20000 mieszkańców,19.746472,51.80275,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-08,"<0,8",,0.9,0.5,0.05
WOJ. ŁÓDZKIE,Powiat bełchatowski,Drużbice,Zwierzyniec 37,,Gminy wiejskie,19.367119,51.513028,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-08,"<0,8",,2.2,1.2,0.12
WOJ. ŁÓDZKIE,Powiat łowicki,Łyszkowice,Łyszkowice,ul. Gminna 4,Gminy wiejskie,19.909139,51.983381,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-24,"<0,8",,1.1,0.6,0.06
WOJ. ŁÓDZKIE,Powiat łowicki,Nieborów,Nieborów,al. Lipowa 88,Gminy wiejskie,20.072472,52.069189,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-09,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Andrespol,Bedoń Przykościelny,ul. Ogrodowa 53,Gminy wiejskie,19.635189,51.738778,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-26,"<0,8",,2.9,1.6,0.16
WOJ. ŁÓDZKIE,Powiat łódzki wschodni,Brójce,Kurowice,ul. Szkolna 14,Gminy wiejskie,19.690889,51.664361,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-24,"<0,8",,2.5,1.3,0.14
WOJ. ŁÓDZKIE,Powiat pabianicki,Dłutów,Dłutów,ul. Główna 1,Gminy wiejskie,19.398917,51.557139,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-06,"<0,8",,1.5,0.8,0.08
WOJ. ŁÓDZKIE,Powiat poddębicki,Pęczniew,Pęczniew,ul. Rynek 12,Gminy wiejskie,18.721194,51.803528,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-19,"<0,8",,1.6,0.8,0.09
WOJ. ŁÓDZKIE,Powiat poddębicki,Zadzim,Kazimierzew 25a,,Gminy wiejskie,18.849694,51.778806,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-19,"<0,8",,1.2,0.6,0.06
WOJ. ŁÓDZKIE,Powiat poddębicki,Dalików,Brudnów Stary 2,,Gminy wiejskie,19.084722,51.916911,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,"<0,8",,2.8,1.5,0.15
WOJ. ŁÓDZKIE,Powiat rawski,Rawa Mazowiecka,Janolin 5,,Gminy wiejskie,20.200639,51.808278,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,"<0,8",,1,0.5,0.05
WOJ. ŁÓDZKIE,Powiat sieradzki,Wróblew,Kobierzycko 45,,Gminy wiejskie,18.600472,51.619333,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-21,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat sieradzki,Burzenin,Burzenin,ul. Harcerska,Gminy wiejskie,18.829667,51.459778,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-09,"<0,8",,1.3,0.7,0.07
WOJ. ŁÓDZKIE,Powiat skierniewicki,Godzianów,Godzianów,ul. Sportowa 4,Gminy wiejskie,20.037167,51.892917,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-09,"<0,8",,2.2,1.2,0.12
WOJ. ŁÓDZKIE,Powiat skierniewicki,Kowiesy,Kowiesy 74,,Gminy wiejskie,20.424222,51.890361,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-02,"<0,8",,1.3,0.7,0.07
WOJ. ŁÓDZKIE,Powiat skierniewicki,Lipce Reymontowskie,Lipce Reymontowskie,ul. Władysława Reymonta 45,Gminy wiejskie,19.942306,51.9013,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-20,"<0,8",,1.3,0.7,0.07
WOJ. ŁÓDZKIE,Powiat skierniewicki,Maków,Maków,ul. Jarzębinowa 42,Gminy wiejskie,20.047056,51.943306,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-20,"<0,8",,4.7,2.5,0.26
WOJ. ŁÓDZKIE,Powiat skierniewicki,Nowy Kawęczyn,Marianów 13b,,Gminy wiejskie,20.212806,51.875611,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat skierniewicki,Skierniewice,Julków 6,,Gminy wiejskie,20.125111,51.888222,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-23,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat skierniewicki,Słupia,Słupia 137,,Gminy wiejskie,19.966839,51.855444,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-09,"<0,8",,1.9,1,0.1
WOJ. ŁÓDZKIE,Powiat tomaszowski,Rokiciny,Rokiciny Kolonia,ul. Lipowa 1,Gminy wiejskie,19.777611,51.667289,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-26,"<0,8",,3.9,2.1,0.21
WOJ. ŁÓDZKIE,Powiat wieluński,Konopnica,Konopnica,ul. Parkowa 3,Gminy wiejskie,18.8215,51.352031,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,"<0,8",,1.1,0.6,0.06
WOJ. ŁÓDZKIE,Powiat wieluński,Mokrsko,Mokrsko 307,,Gminy wiejskie,18.442111,51.170778,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-28,"<0,8",,1.7,0.9,0.09
WOJ. ŁÓDZKIE,Powiat wieluński,Osjaków,Osjaków,ul. Sienkiewicza 9,Gminy wiejskie,18.792833,51.283789,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,"<0,8",,2.1,1.1,0.11
WOJ. ŁÓDZKIE,Powiat wieluński,Biała,Biała Parcela 13,,Gminy wiejskie,18.447972,51.266444,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat wieluński,Ostrówek,Ostrówek 155,,Gminy wiejskie,18.612194,51.33485,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,"<0,8",,0.8,0.4,0.04
WOJ. ŁÓDZKIE,Powiat wieluński,Pątnów,Pątnów 105,,Gminy wiejskie,18.616222,51.144694,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-28,"<0,8",,2.2,1.2,0.12
WOJ. ŁÓDZKIE,Powiat wieluński,Skomlin,Skomlin,ul. Sikorskiego 18,Gminy wiejskie,18.375861,51.168239,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-28,"<0,8",,2,1.1,0.11
WOJ. ŁÓDZKIE,Powiat wieluński,Wierzchlas,Kraszkowice,ul. Wieluńska/ul. Szeroka,Gminy wiejskie,18.709,51.190611,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-28,"<0,8",,1.9,1,0.1
WOJ. ŁÓDZKIE,Powiat wieluński,Czarnożyły,Czarnożyły 140A,,Gminy wiejskie,18.5675,51.281917,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,"<0,8",,,,
WOJ. ŁÓDZKIE,Powiat brzeziński,Rogów,Rogów Parcela 8,,Gminy wiejskie,19.88075,51.801831,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-06,"<0,8",,2.1,1.1,0.11
WOJ. ŁÓDZKIE,Powiat brzeziński,Dmosin,Dmosin 127A,,Gminy wiejskie,19.763111,51.920167,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-27,1.7,0.9,2.9,1.5,0.16
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Jacka Augustyna Łopackiego,Miasta powyżej 200000 mieszkańców,20.021064,50.093289,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,2.74,1.1,3.58,1.43,0.18
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Mariana Domagały,Miasta powyżej 200000 mieszkańców,20.050872,50.022392,Składowa elektryczna 80[MHz] - 40[GHz],2023-03-03,1.63,0.65,2.16,0.86,0.11
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Plaża Bagry,Miasta powyżej 200000 mieszkańców,19.994211,50.034058,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-16,0.46,0.19,0.6,0.24,0.03
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Rynek Główny,Miasta powyżej 200000 mieszkańców,19.937889,50.061361,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,1.3,0.52,1.48,0.59,0.07
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Totus Tuus ,Miasta powyżej 200000 mieszkańców,19.936308,50.014017,Składowa elektryczna 80[MHz] - 40[GHz],2023-03-03,1.46,0.58,1.68,0.67,0.08
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Na Błonie,Miasta powyżej 200000 mieszkańców,19.885394,50.077347,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-21,0.82,0.33,1.12,0.45,0.06
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Podchorążych,Miasta powyżej 200000 mieszkańców,19.9101,50.074056,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-16,1.45,0.58,2.1,0.84,0.1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Grota -Roweckiego,Miasta powyżej 200000 mieszkańców,19.921994,50.030286,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-08,0.69,0.27,0.97,0.39,0.05
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Stanisława Lema,Miasta powyżej 200000 mieszkańców,19.993719,50.067581,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-04,"<0,3",,0.53,0.21,0.03
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków,Dobrego Pasterza,Miasta powyżej 200000 mieszkańców,19.982531,50.08945,Składowa elektryczna 80[MHz] - 40[GHz],2023-03-17,2.13,0.85,2.46,0.98,0.12
